"dep_code","genre_candidat-es","voix_moyenne","voix_mediane","taux_voix/inscriptions_moyenne","taux_voix/exprimes_moyenne"
"73",FEMININ,11639,15212.0,14.12,20.29
"73",MASCULIN,6123,1115.5,7.82,11.36
"74",FEMININ,10005,4800.0,10.16,15.46
"74",MASCULIN,9574,5396.0,10.00,14.73
"75",FEMININ,5094,640.0,6.76,9.45
"75",MASCULIN,4574,655.0,5.97,8.16
"76",FEMININ,9066,8898.0,10.90,16.58
"76",MASCULIN,8455,1489.0,9.23,14.12
"77",FEMININ,7251,1745.0,8.56,13.47
"77",MASCULIN,8532,3589.5,10.35,16.39
"78",FEMININ,8524,3604.5,10.43,14.97
"78",MASCULIN,6557,1729.5,8.07,11.73
"79",FEMININ,11414,10533.0,12.12,17.98
"79",MASCULIN,9060,7491.0,10.19,15.35
"80",FEMININ,8175,4280.0,10.05,15.51
"80",MASCULIN,8175,5624.5,9.97,14.92
"81",FEMININ,10613,8819.0,10.75,15.59
"81",MASCULIN,11022,4082.0,10.96,15.84
"82",FEMININ,14594,11119.0,15.33,22.58
"82",MASCULIN,3180,973.5,3.30,4.84
"83",FEMININ,9522,9416.0,9.21,14.11
"83",MASCULIN,9723,2500.0,9.40,14.41
"84",FEMININ,12077,10895.0,14.27,21.69
"84",MASCULIN,4816,1459.0,5.97,9.20
"85",FEMININ,12638,13164.0,11.11,16.28
"85",MASCULIN,14249,13192.0,12.80,18.88
"86",FEMININ,10427,13864.0,13.32,19.67
"86",MASCULIN,8432,5723.0,11.20,16.70
"87",FEMININ,12444,16240.5,13.97,20.18
"87",MASCULIN,13789,17039.0,15.90,23.09
"88",FEMININ,3492,705.5,5.09,7.67
"88",MASCULIN,13396,14592.0,19.47,29.39
"89",FEMININ,5513,836.5,7.23,10.98
"89",MASCULIN,9971,9034.0,12.41,19.02
"90",FEMININ,3641,2017.0,7.69,11.41
"90",MASCULIN,6857,7679.0,14.69,21.74
"91",FEMININ,7313,2068.0,9.00,13.90
"91",MASCULIN,7062,1553.5,8.73,13.28
"92",FEMININ,7220,4959.0,9.61,13.67
"92",MASCULIN,6653,840.0,8.19,11.37
"93",FEMININ,5302,2367.0,7.61,12.96
"93",MASCULIN,4693,1137.0,6.92,11.71
"94",FEMININ,5263,650.0,7.66,11.75
"94",MASCULIN,7304,1504.0,9.36,13.93
"95",FEMININ,5761,1046.0,7.34,11.37
"95",MASCULIN,4705,873.5,6.56,10.68
"971",FEMININ,1210,336.0,1.64,5.22
"971",MASCULIN,3048,1597.5,3.77,11.86
"972",FEMININ,1315,824.0,2.00,6.81
"972",MASCULIN,3856,2316.0,4.97,16.78
"973",FEMININ,2837,2837.0,5.36,18.00
"973",MASCULIN,3583,1513.0,6.47,20.50
"974",FEMININ,4745,2172.0,4.77,11.30
"974",MASCULIN,4974,2083.0,4.99,11.56
"976",FEMININ,5516,4129.0,11.51,29.38
"976",MASCULIN,2187,1598.5,4.28,10.31
